company,ticker,year,AccountsReceivableNetCurrent,Assets,CashAndCashEquivalentsAtCarryingValue,InventoryNet,Liabilities,NetIncomeLoss,Revenues,dsri,aqi,sgi,lvgi,accruals,cash_profit_gap,rev_growth,recv_growth,rev_recv_divergence
3M CO,MMM,2024,3194000000.0,39868000000.0,,3698000000.0,35974000000.0,4173000000.0,24575000000.0,0.8882390813222167,0.9721438712197795,0.9985778138967899,0.9984191048872199,,,-0.0014221861032100772,-0.1130241599555679,-0.11160197385235783
3M CO,MMM,2025,3533000000.0,37733000000.0,,3661000000.0,32986000000.0,3250000000.0,24948000000.0,1.0895985503322176,0.9784980207660215,1.015178026449644,0.9688221028709016,,,0.015178026449643948,0.10613650594865373,0.09095847949900979
ABBOTT LABORATORIES,ABT,2011,7683920000.0,60277000000.0,6813000000.0,3284249000.0,,4728000000.0,,,,,,-0.03459030807770792,1.4409898477157361,,,
ABBOTT LABORATORIES,ABT,2012,7613000000.0,67235000000.0,10802000000.0,3793000000.0,,5963000000.0,,,0.9499109765574607,,,-0.07197144344463449,1.8115042763709541,,-0.009229664025653573,
ABBOTT LABORATORIES,ABT,2013,3986000000.0,42937000000.0,3475000000.0,2693000000.0,,2576000000.0,,,1.1400906749788904,,,-0.020937652840207745,1.3489906832298137,,-0.47642190989097594,
ABBOTT LABORATORIES,ABT,2014,3586000000.0,41207000000.0,4063000000.0,2643000000.0,,2284000000.0,,,0.9826101740472948,,,-0.04317227655495426,1.7788966725043782,,-0.10035122930255895,
ABBOTT LABORATORIES,ABT,2015,3418000000.0,41247000000.0,5001000000.0,2599000000.0,,4423000000.0,,,0.976861876056789,,,-0.014013140349601183,1.130680533574497,,-0.046848856664807585,
ABBOTT LABORATORIES,ABT,2016,3248000000.0,52666000000.0,18620000000.0,2434000000.0,,1400000000.0,20853000000.0,,0.7348618943500078,,,-0.32696616412865986,13.3,,-0.0497366881217086,
ABBOTT LABORATORIES,ABT,2017,5249000000.0,76250000000.0,9407000000.0,3601000000.0,,477000000.0,27390000000.0,1.2303737677984665,1.4122077341169017,1.31348007480938,,-0.11711475409836065,19.72117400419287,0.31348007480937995,0.6160714285714286,0.30259135376204865
ABBOTT LABORATORIES,ABT,2018,5182000000.0,67173000000.0,3844000000.0,3796000000.0,,2368000000.0,30578000000.0,0.884308484374606,1.0638418402240672,1.1163928441036874,,-0.021973114197668706,1.6233108108108107,0.11639284410368747,-0.012764336064012193,-0.12915718016769967
ABBOTT LABORATORIES,ABT,2019,5425000000.0,67887000000.0,3860000000.0,4316000000.0,,3687000000.0,31904000000.0,1.0033819254947398,0.9882991704379077,1.043364510432337,,-0.0025483524091505,1.0469216164903716,0.043364510432336974,0.04689309147047472,0.003528581038137746
ABBOTT LABORATORIES,ABT,2020,6414000000.0,72548000000.0,6838000000.0,5012000000.0,,4495000000.0,34608000000.0,1.0899280952594004,0.9357184059266087,1.084754262788365,,-0.03229585929315763,1.521245828698554,0.08475426278836509,0.1823041474654378,0.0975498846770727
ABBOTT LABORATORIES,ABT,2021,6487000000.0,75196000000.0,9799000000.0,5157000000.0,,7071000000.0,43075000000.0,0.8125800551282463,0.9553479387244563,1.244654415164124,,-0.03627852545348157,1.3858011596662423,0.2446544151641239,0.011381353289678828,-0.23327306187444508
ABBOTT LABORATORIES,ABT,2022,6218000000.0,74438000000.0,9882000000.0,6173000000.0,,6933000000.0,43653000000.0,0.9458407271627003,0.9803396031014101,1.0134184561810795,,-0.039616862355248667,1.425356988316746,0.013418456181079513,-0.041467550485586556,-0.05488600666666607
ABBOTT LABORATORIES,ABT,2023,6565000000.0,73214000000.0,6896000000.0,6570000000.0,,5723000000.0,40109000000.0,1.1490958968589302,1.0365593685043066,0.9188142853870296,,-0.016021525937662196,1.2049624322907566,-0.08118571461297047,0.05580572531360566,0.13699143992657614
ABBOTT LABORATORIES,ABT,2024,6925000000.0,81414000000.0,7616000000.0,6194000000.0,,13402000000.0,41950000000.0,1.0085441541311921,1.0260313369926188,1.0458999227106136,,0.07106885793598153,0.5682733920310401,0.04589992271061358,0.05483625285605483,0.008936330145441256
ABBOTT LABORATORIES,ABT,2025,7929000000.0,86713000000.0,8522000000.0,6488000000.0,,6524000000.0,44328000000.0,1.0835587615002569,0.9867795114541846,1.0566865315852205,,-0.02304152779859998,1.3062538320049049,0.0566865315852205,0.14498194945848375,0.08829541787326325
ADOBE INC.,ADBE,2008,467234000.0,5821598000.0,886450000.0,,1411244000.0,871814000.0,3579889000.0,,,,,-0.002514086338493314,1.0167879845930439,,,
ADOBE INC.,ADBE,2009,410879000.0,7282237000.0,999487000.0,,2391669000.0,386508000.0,2945853000.0,1.0686561666587782,1.050628323619949,0.822889480651495,1.3548036863856863,-0.08417454691463626,2.5859413000507105,-0.17711051934850494,-0.12061408202314045,0.056496437325364496
ADOBE INC.,ADBE,2010,554328000.0,8141148000.0,749891000.0,,2948761000.0,774680000.0,3800000000.0,1.0458763578776746,1.041510668448697,1.2899489553619954,1.1028530752792074,0.0030449022668547483,0.9680009810502401,0.28994895536199533,0.3491271152821147,0.05917815992011938
ADOBE INC.,ADBE,2011,634373000.0,8991183000.0,989500000.0,,3208070000.0,832847000.0,4216258000.0,1.0314170177131985,0.9757008591533008,1.1095415789473684,0.9850835684104051,-0.017422957579664434,1.1880933712914856,0.10954157894736842,0.14440006638668804,0.034858487439319616
ADOBE INC.,ADBE,2012,617233000.0,10040229000.0,1425052000.0,,3375047000.0,832775000.0,4403677000.0,0.9315714458218134,0.9721709359081178,1.0444515017819118,0.9421264739283838,-0.058990387569845266,1.7112089099696797,0.04445150178191183,-0.02701880439426016,-0.07147030617617199
ADOBE INC.,ADBE,2013,599820000.0,10380298000.0,834556000.0,,3655664000.0,289985000.0,4055240000.0,1.0552872720295177,1.0818836190954928,0.920875895302948,1.047659713048126,-0.05246198134196147,2.877928168698381,-0.07912410469705203,-0.028211388568012405,0.05091271612903962
ADOBE INC.,ADBE,2014,591800000.0,10785829000.0,1117400000.0,,4009924000.0,268395000.0,4147065000.0,0.9647832122897394,0.9764629467507285,1.0226435426756493,1.0556650910433996,-0.07871485817177336,4.163266826878295,0.022643542675649282,-0.013370677870027674,-0.036014220545676955
ADOBE INC.,ADBE,2015,672006000.0,11726472000.0,876560000.0,,4724892000.0,629551000.0,4795511000.0,0.9819833874879477,1.0313831000833613,1.1563626323677108,1.0837819262831292,-0.02106422119116474,1.3923574102812957,0.15636263236771067,0.13552889489692463,-0.02083373747078604
ADOBE INC.,ADBE,2016,833033000.0,12697246000.0,1011315000.0,,5272411000.0,1168782000.0,5854430000.0,1.0154050739892075,0.9847933854138808,1.2208146326846085,1.0305645720270684,0.012401665684038886,0.8652725657992679,0.22081463268460857,0.23962137242822237,0.0188067397436138
ADOBE INC.,ADBE,2017,1217968000.0,14535556000.0,2306000000.0,,6075687000.0,1693954000.0,7301505000.0,1.1723192673240797,0.8863027925347545,1.2471760700870964,1.0066164424261372,-0.04210681724180348,1.3613120545185997,0.24717607008709644,0.4620885367086298,0.21491246662153338
ADOBE INC.,ADBE,2018,1315578000.0,18768682000.0,1643000000.0,,9406568000.0,2591000000.0,9030000000.0,0.8733842599113832,1.1119433080271395,1.23673133141729,1.1990400226436255,0.05050967350824102,0.6341181011192589,0.23673133141729,0.08014167859910934,-0.15658965281818066
ADOBE INC.,ADBE,2019,1535000000.0,20762000000.0,2650000000.0,,10232000000.0,2951000000.0,11171000000.0,0.9431645654465559,0.9478416752128425,1.2370985603543743,0.9833178467758964,0.01449763991908294,0.8980006777363606,0.23709856035437432,0.16678752609119338,-0.07031103426318094
ADOBE INC.,ADBE,2020,1398000000.0,24284000000.0,4478000000.0,,11020000000.0,5260000000.0,12868000000.0,0.7906418365786806,0.9494008816684297,1.151911198639334,0.9208099967429978,0.0322022731016307,0.8513307984790874,0.151911198639334,-0.08925081433224756,-0.24116201297158157
ADOBE INC.,ADBE,2021,1878000000.0,27241000000.0,3844000000.0,,12444000000.0,4822000000.0,15785000000.0,1.0951027826983024,1.0421078272469402,1.2266863537457258,1.0066432503956917,0.035901765720788514,0.7971795935296557,0.22668635374572582,0.34334763948497854,0.11666128573925272
ADOBE INC.,ADBE,2022,2065000000.0,27165000000.0,4236000000.0,,13114000000.0,4756000000.0,17606000000.0,0.9858443613169438,0.972274342724039,1.1153626860943935,1.0567895587656961,0.01914227866740291,0.8906644238856182,0.11536268609439342,0.09957401490947816,-0.015788671184915254
